Start profiling...
STAGE:2023-03-21 23:08:33 15306:15306 ActivityProfilerController.cpp:294] Completed Stage: Warm Up
STAGE:2023-03-21 23:08:37 15306:15306 ActivityProfilerController.cpp:300] Completed Stage: Collection
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Train Epoch: 2 [53760/60000 (90%)]	Loss: 0.026234
Train Epoch: 2 [54400/60000 (91%)]	Loss: 0.036898
Train Epoch: 2 [55040/60000 (92%)]	Loss: 0.006578
Train Epoch: 2 [55680/60000 (93%)]	Loss: 0.068339
Train Epoch: 2 [56320/60000 (94%)]	Loss: 0.038053
Train Epoch: 2 [56960/60000 (95%)]	Loss: 0.040651
Train Epoch: 2 [57600/60000 (96%)]	Loss: 0.006251
Train Epoch: 2 [58240/60000 (97%)]	Loss: 0.016076
Train Epoch: 2 [58880/60000 (98%)]	Loss: 0.095522
Train Epoch: 2 [59520/60000 (99%)]	Loss: 0.171351

Test set: Average loss: 0.0486, Accuracy: 9839/10000 (98%)

Train Epoch: 3 [0/60000 (0%)]	Loss: 0.097738
Train Epoch: 3 [640/60000 (1%)]	Loss: 0.056186
Train Epoch: 3 [1280/60000 (2%)]	Loss: 0.042485
Train Epoch: 3 [1920/60000 (3%)]	Loss: 0.015169
Train Epoch: 3 [2560/60000 (4%)]	Loss: 0.108962
Train Epoch: 3 [3200/60000 (5%)]	Loss: 0.054321
Train Epoch: 3 [3840/60000 (6%)]	Loss: 0.059893
Train Epoch: 3 [4480/60000 (7%)]	Loss: 0.125388
Train Epoch: 3 [5120/60000 (9%)]	Loss: 0.015313
Train Epoch: 3 [5760/60000 (10%)]	Loss: 0.032184
Train Epoch: 3 [6400/60000 (11%)]	Loss: 0.087315
Train Epoch: 3 [7040/60000 (12%)]	Loss: 0.023975
Train Epoch: 3 [7680/60000 (13%)]	Loss: 0.007292
Train Epoch: 3 [8320/60000 (14%)]	Loss: 0.034432
Train Epoch: 3 [8960/60000 (15%)]	Loss: 0.165757
Train Epoch: 3 [9600/60000 (16%)]	Loss: 0.006887
Train Epoch: 3 [10240/60000 (17%)]	Loss: 0.119019
Train Epoch: 3 [10880/60000 (18%)]	Loss: 0.161203
Train Epoch: 3 [11520/60000 (19%)]	Loss: 0.071765
Train Epoch: 3 [12160/60000 (20%)]	Loss: 0.008933
Train Epoch: 3 [12800/60000 (21%)]	Loss: 0.003736
Train Epoch: 3 [13440/60000 (22%)]	Loss: 0.037276
Train Epoch: 3 [14080/60000 (23%)]	Loss: 0.067010
Train Epoch: 3 [14720/60000 (25%)]	Loss: 0.073844
Train Epoch: 3 [15360/60000 (26%)]	Loss: 0.007687
Train Epoch: 3 [16000/60000 (27%)]	Loss: 0.122741
Train Epoch: 3 [16640/60000 (28%)]	Loss: 0.018443
Train Epoch: 3 [17280/60000 (29%)]	Loss: 0.049405
Train Epoch: 3 [17920/60000 (30%)]	Loss: 0.018336
Train Epoch: 3 [18560/60000 (31%)]	Loss: 0.020737
