Start profiling...
STAGE:2023-03-27 15:25:53 29481:29481 ActivityProfilerController.cpp:294] Completed Stage: Warm Up
STAGE:2023-03-27 15:25:58 29481:29481 ActivityProfilerController.cpp:300] Completed Stage: Collection
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Train Epoch: 3 [8320/60000 (14%)]	Loss: 0.031418
Train Epoch: 3 [8960/60000 (15%)]	Loss: 0.042593
Train Epoch: 3 [9600/60000 (16%)]	Loss: 0.049691
Train Epoch: 3 [10240/60000 (17%)]	Loss: 0.058052
Train Epoch: 3 [10880/60000 (18%)]	Loss: 0.016225
Train Epoch: 3 [11520/60000 (19%)]	Loss: 0.042591
Train Epoch: 3 [12160/60000 (20%)]	Loss: 0.050214
Train Epoch: 3 [12800/60000 (21%)]	Loss: 0.058816
Train Epoch: 3 [13440/60000 (22%)]	Loss: 0.001792
Train Epoch: 3 [14080/60000 (23%)]	Loss: 0.084831
Train Epoch: 3 [14720/60000 (25%)]	Loss: 0.131181
Train Epoch: 3 [15360/60000 (26%)]	Loss: 0.023520
Train Epoch: 3 [16000/60000 (27%)]	Loss: 0.101265
Train Epoch: 3 [16640/60000 (28%)]	Loss: 0.010875
Train Epoch: 3 [17280/60000 (29%)]	Loss: 0.022427
Train Epoch: 3 [17920/60000 (30%)]	Loss: 0.006665
Train Epoch: 3 [18560/60000 (31%)]	Loss: 0.035960
Train Epoch: 3 [19200/60000 (32%)]	Loss: 0.006568
Train Epoch: 3 [19840/60000 (33%)]	Loss: 0.022021
Train Epoch: 3 [20480/60000 (34%)]	Loss: 0.046214
Train Epoch: 3 [21120/60000 (35%)]	Loss: 0.074976
Train Epoch: 3 [21760/60000 (36%)]	Loss: 0.012734
Train Epoch: 3 [22400/60000 (37%)]	Loss: 0.023927
Train Epoch: 3 [23040/60000 (38%)]	Loss: 0.134629
Train Epoch: 3 [23680/60000 (39%)]	Loss: 0.255956
Train Epoch: 3 [24320/60000 (41%)]	Loss: 0.173245
Train Epoch: 3 [24960/60000 (42%)]	Loss: 0.011781
Train Epoch: 3 [25600/60000 (43%)]	Loss: 0.029965
Train Epoch: 3 [26240/60000 (44%)]	Loss: 0.004448
Train Epoch: 3 [26880/60000 (45%)]	Loss: 0.007232
